url,is_phishing,hostname,api_scanned_url,risk_score,score_threshold,predicted_is_phishing,matched_ground_truth,api_error
handannews.com.cn,0,handannews.com.cn,http://handannews.com.cn/,0.00,50.0,false,true,
https://grades.m-pages.com/s4u5KX/your-bill-is-ready,1,grades.m-pages.com,https://grades.m-pages.com/s4u5KX/your-bill-is-ready,0.00,50.0,false,false,
https://pichincha2026.webcindario.com/,1,pichincha2026.webcindario.com,https://pichincha2026.webcindario.com/,9.00,50.0,false,false,
https://resona-wuje.com/web/client/#/%2FloginUsername,1,resona-wuje.com,,,50.0,,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=15)"
immoviewer.com,0,immoviewer.com,http://immoviewer.com/,0.00,50.0,false,true,
horaires-de-trains.fr,0,horaires-de-trains.fr,http://horaires-de-trains.fr/,0.00,50.0,false,true,
luch-nsk.ru,0,luch-nsk.ru,http://luch-nsk.ru/,0.00,50.0,false,true,
https://review-manage-951424.firebaseapp.com/,1,review-manage-951424.firebaseapp.com,https://review-manage-951424.firebaseapp.com/,3.53,50.0,false,false,
yelp.pt,0,yelp.pt,http://yelp.pt/,21.82,50.0,false,true,
https://bc2eiyj07.ukit.me/,1,bc2eiyj07.ukit.me,https://bc2eiyj07.ukit.me/,3.00,50.0,false,false,
https://rendlixo.com/72bSycGHnY,1,rendlixo.com,https://rendlixo.com/72bSycGHnY,10.91,50.0,false,false,
https://mailbrightnet938fucj.weebly.com/,1,mailbrightnet938fucj.weebly.com,https://mailbrightnet938fucj.weebly.com/,3.00,50.0,false,false,
ultra-soccer.jp,0,ultra-soccer.jp,,,50.0,,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=15)"
sedaptogel.fun,0,sedaptogel.fun,http://sedaptogel.fun/,10.91,50.0,false,true,
itinerarinellarte.it,0,itinerarinellarte.it,http://itinerarinellarte.it/,7.06,50.0,false,true,
https://pub-a8e31add0a6b4aba869febaa01df3901.r2.dev/index.html,1,pub-a8e31add0a6b4aba869febaa01df3901.r2.dev,https://pub-a8e31add0a6b4aba869febaa01df3901.r2.dev/index.html,15.00,50.0,false,false,
torrentzota166.com,0,torrentzota166.com,http://torrentzota166.com/,7.06,50.0,false,true,
sileceksepeti.com,0,sileceksepeti.com,http://sileceksepeti.com/,7.06,50.0,false,true,
https://enappstart.ghost.io/ledger/,1,enappstart.ghost.io,https://enappstart.ghost.io/ledger/,4.29,50.0,false,false,
http://grupo-davivienda.webcindario.com,1,grupo-davivienda.webcindario.com,http://grupo-davivienda.webcindario.com/,7.06,50.0,false,false,
https://yvuybnuo.web.app/,1,yvuybnuo.web.app,https://yvuybnuo.web.app/,15.00,50.0,false,false,
https://acessibilidadeempresa.kinghost.net,1,acessibilidadeempresa.kinghost.net,https://acessibilidadeempresa.kinghost.net/,0.00,50.0,false,false,
yoru888v1.com,0,yoru888v1.com,http://yoru888v1.com/,14.12,50.0,false,true,
systep.cl,0,systep.cl,http://systep.cl/,14.12,50.0,false,true,
https://pub-23a2e2e234334745a9efe4cbe160602b.r2.dev/vb21.html,1,pub-23a2e2e234334745a9efe4cbe160602b.r2.dev,https://pub-23a2e2e234334745a9efe4cbe160602b.r2.dev/vb21.html,15.00,50.0,false,false,
yucafe.com,0,yucafe.com,http://yucafe.com/,28.24,50.0,false,true,
vdaq.de,0,vdaq.de,http://vdaq.de/,21.82,50.0,false,true,
currencyprices.net,0,currencyprices.net,http://currencyprices.net/,0.00,50.0,false,true,
bizbi.ru,0,bizbi.ru,http://bizbi.ru/,0.00,50.0,false,true,
https://cloudmich-a7968.firebaseapp.com/,1,cloudmich-a7968.firebaseapp.com,https://cloudmich-a7968.firebaseapp.com/,3.53,50.0,false,false,
https://file-greview.web.app/,1,file-greview.web.app,https://file-greview.web.app/,15.00,50.0,false,false,
creators.com,0,creators.com,http://creators.com/,0.00,50.0,false,true,
teethwhitening-eg.com,0,teethwhitening-eg.com,http://teethwhitening-eg.com/,0.00,50.0,false,true,
moon33placess.xyz,0,moon33placess.xyz,http://moon33placess.xyz/,21.82,50.0,false,true,
posta-beki.com,0,posta-beki.com,http://posta-beki.com/,28.24,50.0,false,true,
standard-freeholder.com,0,standard-freeholder.com,http://standard-freeholder.com/,0.00,50.0,false,true,
1bol.kz,0,1bol.kz,http://1bol.kz/,0.00,50.0,false,true,
https://epasacv.com/lindex.php,1,epasacv.com,https://epasacv.com/lindex.php,3.00,50.0,false,false,
hztudor.com,0,hztudor.com,http://hztudor.com/,0.00,50.0,false,true,
kovaifibernet.com,0,kovaifibernet.com,http://kovaifibernet.com/,0.00,50.0,false,true,
univ-jfc.fr,0,univ-jfc.fr,http://univ-jfc.fr/,0.00,50.0,false,true,
11vip777.com,0,11vip777.com,http://11vip777.com/,0.00,50.0,false,true,
