url,is_phishing,hostname
handannews.com.cn,0,handannews.com.cn
https://grades.m-pages.com/s4u5KX/your-bill-is-ready,1,grades.m-pages.com
https://pichincha2026.webcindario.com/,1,pichincha2026.webcindario.com
https://resona-wuje.com/web/client/#/%2FloginUsername,1,resona-wuje.com
immoviewer.com,0,immoviewer.com
horaires-de-trains.fr,0,horaires-de-trains.fr
luch-nsk.ru,0,luch-nsk.ru
https://review-manage-951424.firebaseapp.com/,1,review-manage-951424.firebaseapp.com
yelp.pt,0,yelp.pt
https://bc2eiyj07.ukit.me/,1,bc2eiyj07.ukit.me
https://rendlixo.com/72bSycGHnY,1,rendlixo.com
https://mailbrightnet938fucj.weebly.com/,1,mailbrightnet938fucj.weebly.com
ultra-soccer.jp,0,ultra-soccer.jp
sedaptogel.fun,0,sedaptogel.fun
itinerarinellarte.it,0,itinerarinellarte.it
https://pub-a8e31add0a6b4aba869febaa01df3901.r2.dev/index.html,1,pub-a8e31add0a6b4aba869febaa01df3901.r2.dev
torrentzota166.com,0,torrentzota166.com
sileceksepeti.com,0,sileceksepeti.com
https://enappstart.ghost.io/ledger/,1,enappstart.ghost.io
http://grupo-davivienda.webcindario.com,1,grupo-davivienda.webcindario.com
https://yvuybnuo.web.app/,1,yvuybnuo.web.app
https://acessibilidadeempresa.kinghost.net,1,acessibilidadeempresa.kinghost.net
yoru888v1.com,0,yoru888v1.com
systep.cl,0,systep.cl
https://pub-23a2e2e234334745a9efe4cbe160602b.r2.dev/vb21.html,1,pub-23a2e2e234334745a9efe4cbe160602b.r2.dev
yucafe.com,0,yucafe.com
vdaq.de,0,vdaq.de
currencyprices.net,0,currencyprices.net
bizbi.ru,0,bizbi.ru
https://cloudmich-a7968.firebaseapp.com/,1,cloudmich-a7968.firebaseapp.com
https://file-greview.web.app/,1,file-greview.web.app
creators.com,0,creators.com
teethwhitening-eg.com,0,teethwhitening-eg.com
moon33placess.xyz,0,moon33placess.xyz
posta-beki.com,0,posta-beki.com
standard-freeholder.com,0,standard-freeholder.com
1bol.kz,0,1bol.kz
https://epasacv.com/lindex.php,1,epasacv.com
hztudor.com,0,hztudor.com
kovaifibernet.com,0,kovaifibernet.com
univ-jfc.fr,0,univ-jfc.fr
11vip777.com,0,11vip777.com
