url,normalized_url,host,is_phishing,feature_version,label_source,url_length,host_length,path_length,query_length,num_dots,num_hyphens,num_digits,num_special_chars,has_at,is_ip,uses_https,subdomain_count,path_depth,query_param_count,host_entropy,path_entropy,suspicious_token_count,brand_token_count,page_title_length,page_heading_count,form_count,login_form_present,password_field_count,input_field_count,nav_link_count,image_count,external_image_domain_count,form_action_count,free_host_flag,brand_candidate_count,detected_brand_present,brand_mismatch_flag,brand_path_match,brand_mention_count,suspicious_phrase_count,form_action_mismatch,no_navigation_menu_flag,heuristics_score,content_score,ssl_score,domain_age_score,threat_intel_score,unknown_check_count,content_available,password_on_http,content_keyword_flag,hidden_elements_flag,ssl_valid_cert,ssl_self_signed,ssl_old_protocol,domain_age_days,domain_age_known,threat_match_found,threat_positive_matches,threat_negative_matches
7hhna4ijb3.251110com-dh.top/,http://7hhna4ijb3.251110com-dh.top/,7hhna4ijb3.251110com-dh.top,1,ml_features_v2,netstar_csv,35.0,27.0,1.0,0.0,2.0,1.0,9.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.254525,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tegna-media.com,http://tegna-media.com/,tegna-media.com,0,ml_features_v2,netstar_csv,23.0,15.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.506891,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3926.0,1.0,0.0,0.0,0.0
telegbael.blog/,http://telegbael.blog/,telegbael.blog,1,ml_features_v2,netstar_csv,22.0,14.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842371,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,1.0,0.0,0.0,0.0
mania.kr,http://mania.kr/,mania.kr,0,ml_features_v2,netstar_csv,16.0,8.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,-0.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6965.0,1.0,0.0,0.0,0.0
51jiaoxi.com,http://51jiaoxi.com/,51jiaoxi.com,0,ml_features_v2,netstar_csv,20.0,12.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.251629,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2890.0,1.0,0.0,0.0,0.0
affiliate-marketing-84623.bond/,http://affiliate-marketing-84623.bond/,affiliate-marketing-84623.bond,1,ml_features_v2,netstar_csv,38.0,30.0,1.0,0.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.256565,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tj8bypwzmq.8389966dhxl.shop/,http://tj8bypwzmq.8389966dhxl.shop/,tj8bypwzmq.8389966dhxl.shop,1,ml_features_v2,netstar_csv,35.0,27.0,1.0,0.0,2.0,0.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.20841,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fn7i4ov9.ebaraersc.net/,http://fn7i4ov9.ebaraersc.net/,fn7i4ov9.ebaraersc.net,1,ml_features_v2,netstar_csv,30.0,22.0,1.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.879664,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
visiblemeasures.com,http://visiblemeasures.com/,visiblemeasures.com,0,ml_features_v2,netstar_csv,27.0,19.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.536887,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7950.0,1.0,0.0,0.0,0.0
syrdejz7ew.251110com-dh.top/,http://syrdejz7ew.251110com-dh.top/,syrdejz7ew.251110com-dh.top,1,ml_features_v2,netstar_csv,35.0,27.0,1.0,0.0,2.0,1.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.282484,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
